longitude,latitude,time
42.441777,-76.465003,14:07:05
42.441761,-76.464748,14:07:08
42.441704,-76.46401,14:07:17
42.44169,-76.463748,14:07:20
42.441671,-76.463507,14:07:23
42.441632,-76.462917,14:07:30
42.441605,-76.462589,14:07:34
42.441586,-76.462253,14:07:38
42.441569,-76.462008,14:07:41
42.441539,-76.461608,14:07:46
42.441508,-76.461146,14:07:52
42.441498,-76.460995,14:07:54
42.441503,-76.460595,14:07:59
42.4415,-76.460279,14:08:03
42.441506,-76.459963,14:08:07
42.441506,-76.459646,14:08:11
42.441513,-76.459561,14:08:12
42.441518,-76.459159,14:08:17
42.441526,-76.458763,14:08:22
42.441529,-76.458446,14:08:26
42.441522,-76.458211,14:08:29
42.441523,-76.457896,14:08:33
42.441516,-76.457587,14:08:37
42.441515,-76.457509,14:08:38
42.441517,-76.45681,14:08:47
42.441517,-76.456738,14:08:48
42.441522,-76.456244,14:08:54
42.441523,-76.455992,14:08:57
42.441533,-76.455754,14:09:00
42.441535,-76.455517,14:09:03
42.441528,-76.454892,14:09:11
42.441528,-76.454517,14:09:16
42.441533,-76.454367,14:09:18
42.441529,-76.453988,14:09:23
42.441534,-76.453914,14:09:24
42.441531,-76.453838,14:09:25
42.441527,-76.453689,14:09:27
42.441533,-76.45337,14:09:31
42.441535,-76.453309,14:09:32
42.441537,-76.452856,14:09:38
42.441538,-76.45278,14:09:39
42.441533,-76.452419,14:09:44
42.441539,-76.45227,14:09:46
42.441525,-76.45184,14:09:52
42.441521,-76.451766,14:09:53
42.441516,-76.45169,14:09:54
42.441511,-76.451367,14:09:58
42.441503,-76.451055,14:10:02
42.441499,-76.450904,14:10:04
42.4415,-76.450832,14:10:05
42.441515,-76.450437,14:10:10
42.441521,-76.450113,14:10:14
42.441525,-76.44969,14:10:19
42.441527,-76.449625,14:10:20
42.441531,-76.449192,14:10:26
42.441518,-76.44889,14:10:32
42.441521,-76.448853,14:10:33
42.441568,-76.448735,14:10:36
42.441613,-76.448718,14:10:37
42.441709,-76.448701,14:10:39
42.441862,-76.448719,14:10:42
42.442265,-76.448732,14:10:49
42.442792,-76.448767,14:10:57
42.443383,-76.448818,14:11:06
42.443441,-76.448822,14:11:07
42.443557,-76.448828,14:11:09
42.443674,-76.448834,14:11:11
42.443745,-76.448842,14:11:12
42.443854,-76.448847,14:11:14
42.444151,-76.44886,14:11:19
42.444499,-76.448887,14:11:24
42.445002,-76.44892,14:11:32
42.445335,-76.448938,14:11:37
42.445599,-76.448942,14:11:41
42.445665,-76.448941,14:11:42
42.44612,-76.448955,14:11:49
42.446388,-76.448974,14:11:53
42.446968,-76.449012,14:12:01
42.447441,-76.449054,14:12:07
42.447529,-76.449066,14:12:08
42.448118,-76.449128,14:12:15
42.448465,-76.449161,14:12:19
42.448714,-76.449188,14:12:22
42.448794,-76.449193,14:12:23
42.449114,-76.449217,14:12:27
42.449272,-76.449233,14:12:29
42.449431,-76.449248,14:12:31
42.449964,-76.449296,14:12:38
42.450544,-76.449334,14:12:46
42.450811,-76.449376,14:12:51
42.45091,-76.449384,14:12:53
42.451004,-76.44932,14:12:55
42.451065,-76.449175,14:12:57
42.451127,-76.449003,14:12:59
42.4512,-76.44883,14:13:01
42.451316,-76.448561,14:13:04
42.451397,-76.448394,14:13:06
42.451692,-76.447772,14:13:13
42.451731,-76.447676,14:13:14
42.45185,-76.447403,14:13:17
42.451975,-76.447132,14:13:20
42.452053,-76.446959,14:13:22
42.452096,-76.446871,14:13:23
42.452427,-76.446194,14:13:30
42.452459,-76.446126,14:13:31
42.452536,-76.445975,14:13:33
42.452594,-76.445848,14:13:35
42.45262,-76.44579,14:13:36
42.4527,-76.445604,14:13:39
42.452721,-76.445554,14:13:40
42.452753,-76.44547,14:13:41
42.452806,-76.445346,14:13:43
42.452875,-76.445165,14:13:45
42.452907,-76.445083,14:13:46
42.452944,-76.444987,14:13:47
42.453005,-76.44484,14:13:49
42.453104,-76.444587,14:13:52
42.453149,-76.444411,14:13:54
42.453173,-76.444321,14:13:55
42.453325,-76.443785,14:14:00
42.453347,-76.443705,14:14:01
42.453461,-76.443304,14:14:05
42.45352,-76.443099,14:14:07
42.453572,-76.442901,14:14:09
42.453631,-76.442611,14:14:12
42.453707,-76.442323,14:14:15
42.453733,-76.442227,14:14:16
42.453864,-76.441751,14:14:21
42.453945,-76.441489,14:14:24
42.454007,-76.441312,14:14:26
42.454187,-76.440788,14:14:32
42.454212,-76.440707,14:14:33
42.45429,-76.440481,14:14:36
42.454333,-76.440337,14:14:38
42.454377,-76.440193,14:14:40
42.454438,-76.440003,14:14:43
42.454463,-76.439933,14:14:44
42.45453,-76.439722,14:14:48
42.454632,-76.439426,14:14:53
42.454656,-76.439365,14:14:54
42.454696,-76.439252,14:14:56
42.454784,-76.439008,14:15:01
42.454802,-76.438956,14:15:02
42.45484,-76.438846,14:15:04
42.454863,-76.438789,14:15:05
42.454922,-76.438614,14:15:08
42.454988,-76.438434,14:15:11
42.455082,-76.438131,14:15:16
42.455164,-76.437875,14:15:20
42.455315,-76.437435,14:15:27
42.455562,-76.436837,14:15:36
42.455805,-76.436372,14:15:44
42.455831,-76.436324,14:15:45
42.455842,-76.436218,14:15:47
42.455751,-76.436044,14:15:51
42.455696,-76.435937,14:15:54
42.455662,-76.43586,14:15:56
42.45554,-76.435599,14:16:02
42.455447,-76.435403,14:16:08
42.455398,-76.435296,14:16:12
42.455347,-76.435198,14:16:16
42.455337,-76.435172,14:16:17
42.455311,-76.435088,14:16:20
42.455287,-76.435039,14:16:22
42.455273,-76.435016,14:16:23
42.455241,-76.434939,14:16:26
42.455216,-76.434866,14:16:29
42.455157,-76.43474,14:16:33
42.455128,-76.434642,14:16:36
42.455113,-76.43461,14:16:37
42.455065,-76.434517,14:16:40
42.455037,-76.434459,14:16:42
42.455021,-76.434405,14:16:44
42.455,-76.434339,14:16:46
42.454987,-76.434301,14:16:47
42.454958,-76.434228,14:16:49
42.454934,-76.434162,14:16:51
42.454909,-76.434104,14:16:53
42.454889,-76.434041,14:16:55
42.454847,-76.433935,14:16:59
42.454831,-76.43388,14:17:01
42.454796,-76.433808,14:17:04
42.454793,-76.433792,14:17:05
42.454783,-76.433762,14:17:06
42.454757,-76.43368,14:17:09
42.454708,-76.433574,14:17:13
42.454698,-76.433548,14:17:14
42.454667,-76.433402,14:17:20
42.454636,-76.433232,14:17:27
42.454548,-76.433016,14:17:36
42.454501,-76.432903,14:17:40
42.454469,-76.432823,14:17:43
42.454361,-76.432561,14:17:52
42.45435,-76.432532,14:17:53
42.454252,-76.432248,14:18:02
42.454228,-76.432187,14:18:04
42.454162,-76.432006,14:18:10
42.454092,-76.431815,14:18:16
42.454057,-76.431721,14:18:19
42.454032,-76.431659,14:18:21
42.453988,-76.43154,14:18:25
42.453979,-76.431506,14:18:26
42.453891,-76.431293,14:18:34
42.453871,-76.431245,14:18:36
42.453836,-76.431144,14:18:40
42.453829,-76.43111,14:18:41
42.453811,-76.431048,14:18:43
42.453784,-76.430998,14:18:45
42.453777,-76.430978,14:18:46
42.453766,-76.430956,14:18:47
42.453732,-76.430877,14:18:50
42.453693,-76.430771,14:18:54
42.45369,-76.430748,14:18:55
42.453631,-76.430602,14:19:01
42.453624,-76.430575,14:19:02
42.453583,-76.430465,14:19:06
42.45354,-76.430347,14:19:11
42.453514,-76.430269,14:19:14
42.453464,-76.430148,14:19:19
42.453422,-76.430011,14:19:24
42.453394,-76.429948,14:19:27
42.453363,-76.429891,14:19:30
42.453328,-76.429806,14:19:34
42.453318,-76.429789,14:19:35
42.453288,-76.429694,14:19:39
42.45328,-76.429678,14:19:40
42.453277,-76.429657,14:19:41
42.453245,-76.429573,14:19:45
42.453215,-76.429493,14:19:48
42.453201,-76.429446,14:19:50
42.453184,-76.42937,14:19:53
42.453175,-76.429297,14:19:55
42.453157,-76.429114,14:20:00
42.45315,-76.429059,14:20:02
42.453155,-76.42895,14:20:06
42.453151,-76.42887,14:20:09
42.453156,-76.428825,14:20:11
42.453164,-76.428784,14:20:13
42.453164,-76.428768,14:20:14
42.453174,-76.428651,14:20:18
42.453174,-76.428599,14:20:20
42.453171,-76.428571,14:20:21
42.453168,-76.428473,14:20:25
42.453161,-76.42843,14:20:27
42.453167,-76.428385,14:20:29
42.453162,-76.428285,14:20:33
42.453168,-76.428177,14:20:38
42.453154,-76.42813,14:20:40
42.453151,-76.42807,14:20:42
42.453144,-76.427998,14:20:45
42.453133,-76.427952,14:20:47
42.45313,-76.427928,14:20:48
42.453102,-76.427846,14:20:51
42.453097,-76.427815,14:20:53
42.453097,-76.427787,14:20:54
42.453093,-76.427743,14:20:56
42.453087,-76.427721,14:20:57
42.453062,-76.427679,14:20:59
42.453078,-76.427607,14:21:01
42.453064,-76.427559,14:21:03
42.453041,-76.427505,14:21:05
42.453029,-76.427419,14:21:08
42.453021,-76.427363,14:21:10
42.453019,-76.427334,14:21:11
42.453006,-76.42726,14:21:14
42.453014,-76.427182,14:21:17
42.45301,-76.42716,14:21:18
42.452987,-76.427073,14:21:21
42.452968,-76.426966,14:21:25
42.452967,-76.42691,14:21:28
42.452919,-76.426724,14:21:33
